Major Subjects in Matric,Major in Intermediate,Intermediate Percentage,Favorite Subject,Area of Interest,Your Current Domain
2,3,2,4,0,0.0
3,0,2,0,1,1.0
1,2,2,0,1,1.0
2,4,1,2,3,4.0
1,2,1,0,5,1.0
1,2,2,1,6,1.0
1,2,2,1,6,1.0
1,2,2,1,6,1.0
1,2,2,1,6,1.0
2,1,1,5,7,5.0
1,2,1,2,7,8.0
1,1,1,5,7,10.0
1,1,1,2,3,10.0
1,1,1,6,2,3.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,2,1,1,1,1.0
1,4,1,2,8,9.0
1,2,1,3,8,9.0
1,1,2,5,2,3.0
0,4,2,3,5,6.0
1,1,2,6,3,2.0
1,0,2,5,2,3.0
1,3,1,2,0,0.0
0,3,1,5,3,4.0
2,1,1,5,10,10.0
3,0,1,4,0,2.0
2,4,1,3,0,0.0
0,3,2,5,6,7.0
0,4,1,2,3,4.0
1,2,1,1,3,4.0
1,0,1,2,3,4.0
2,4,1,2,10,10.0
0,0,2,3,5,3.0
3,0,1,6,10,10.0
2,1,1,2,3,4.0
0,3,1,4,5,6.0
2,4,2,2,3,4.0
2,3,1,4,4,5.0
0,4,2,3,5,6.0
0,4,1,3,5,6.0
2,1,2,2,3,4.0
2,1,1,1,2,8.0
2,4,1,2,3,4.0
3,0,1,4,4,7.0
1,2,1,0,1,1.0
1,0,1,5,2,3.0
2,1,1,6,7,8.0
1,1,1,1,7,8.0
1,2,1,0,8,1.0
2,3,0,4,0,0.0
3,2,2,0,1,1.0
1,0,2,0,1,1.0
1,0,2,0,1,1.0
2,1,1,5,10,10.0
2,3,0,3,10,1.0
3,0,2,3,5,6.0
2,1,1,5,10,10.0
2,1,1,5,10,10.0
2,1,1,5,10,10.0
2,1,1,5,10,10.0
2,1,1,5,10,10.0
2,2,1,5,10,10.0
2,1,1,5,10,10.0
2,1,1,5,10,10.0
2,3,1,1,6,5.0
2,1,1,2,3,4.0
3,3,1,0,6,3.0
2,3,1,0,3,7.0
2,1,2,6,2,7.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,3,0,2,11,2.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
1,2,2,1,4,2.0
1,2,0,0,1,1.0
2,3,2,5,6,7.0
2,1,2,1,7,8.0
2,1,0,1,4,5.0
3,3,1,4,2,3.0
2,3,1,4,0,3.0
2,4,2,4,0,0.0
2,4,1,6,11,9.0
0,4,2,2,5,6.0
1,4,2,6,8,9.0
1,4,2,6,8,9.0
2,3,1,2,10,10.0
2,1,2,2,3,4.0
2,2,2,5,10,10.0
1,2,2,0,1,1.0
2,0,2,3,5,6.0
2,2,1,0,1,1.0
2,1,2,6,8,9.0
2,1,2,2,7,8.0
1,2,2,0,1,1.0
1,2,2,0,4,9.0
2,3,1,4,11,2.0
1,4,2,2,3,4.0
0,3,0,3,5,6.0
2,3,1,5,0,2.0
1,1,2,5,2,3.0
1,3,0,4,0,0.0
2,4,1,2,3,4.0
2,4,1,2,3,4.0
1,4,1,2,3,4.0
2,4,1,2,3,4.0
1,3,1,5,0,0.0
2,1,1,5,3,8.0
1,1,0,6,11,2.0
1,4,1,5,11,2.0
1,1,2,5,0,0.0
3,2,1,4,0,0.0
1,4,1,2,3,4.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
0,0,2,2,3,4.0
2,1,2,5,10,10.0
2,1,2,2,3,4.0
2,3,2,1,3,1.0
2,1,2,2,3,8.0
1,2,2,1,1,1.0
1,2,2,0,1,1.0
2,1,2,2,3,4.0
2,1,2,6,1,1.0
2,0,2,3,5,6.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
2,3,2,5,11,2.0
2,1,2,5,2,3.0
2,1,2,5,2,3.0
2,4,2,2,0,0.0
2,1,2,2,4,5.0
2,3,1,5,10,10.0
1,2,2,1,1,1.0
2,1,2,2,3,4.0
2,1,2,2,3,4.0
2,1,2,2,3,4.0
2,4,1,2,0,2.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
2,1,2,2,2,3.0
2,1,2,2,3,4.0
2,1,2,2,10,10.0
1,2,2,0,1,1.0
2,0,2,3,5,6.0
2,0,2,2,0,8.0
1,0,2,6,1,1.0
2,2,1,6,6,10.0
2,1,2,3,0,2.0
2,2,2,0,1,1.0
2,1,2,6,2,8.0
1,3,2,6,8,8.0
2,1,2,5,10,10.0
2,3,2,5,3,4.0
2,3,2,5,3,4.0
2,3,2,2,3,4.0
1,2,2,0,1,1.0
1,4,1,5,0,0.0
1,2,2,0,1,1.0
2,4,2,3,5,6.0
1,2,2,0,1,1.0
2,4,1,4,11,2.0
2,4,2,6,8,9.0
2,2,2,6,1,2.0
2,4,2,3,5,6.0
1,4,2,1,10,9.0
2,4,2,2,3,4.0
2,4,2,5,6,7.0
2,4,2,5,1,1.0
2,4,2,1,1,1.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
2,1,2,2,3,4.0
2,1,2,2,3,4.0
0,0,1,3,5,6.0
2,1,1,5,3,4.0
2,1,1,2,3,4.0
1,2,2,2,3,4.0
1,2,2,0,1,1.0
0,3,2,3,5,6.0
2,1,2,2,3,4.0
1,2,2,0,1,1.0
1,2,1,0,11,2.0
2,3,0,5,7,8.0
2,1,2,2,10,4.0
1,2,2,0,1,1.0
1,3,1,2,2,3.0
1,2,1,1,1,1.0
2,4,2,3,5,6.0
1,2,2,1,1,1.0
2,4,2,6,8,9.0
2,1,2,2,3,4.0
2,1,2,2,3,4.0
2,1,2,2,2,3.0
0,0,1,3,5,6.0
2,4,2,2,11,2.0
2,1,2,2,11,2.0
2,1,2,2,4,5.0
1,2,0,3,1,1.0
1,2,0,0,1,1.0
1,2,0,3,1,1.0
1,2,1,0,11,1.0
1,2,1,0,11,1.0
1,2,1,0,11,1.0
0,4,0,3,5,6.0
2,1,2,1,11,2.0
1,2,1,0,1,1.0
1,2,1,0,1,1.0
2,0,0,1,6,5.0
2,0,2,1,4,3.0
2,4,1,1,2,3.0
1,2,2,0,1,1.0
2,1,2,4,0,7.0
2,1,2,3,3,4.0
2,4,2,0,1,1.0
1,2,1,3,7,5.0
1,0,2,2,3,4.0
1,2,2,6,8,9.0
1,2,2,6,1,1.0
2,0,2,6,8,9.0
2,1,2,0,1,1.0
2,0,2,3,2,10.0
1,1,2,5,10,10.0
2,4,2,0,6,8.0
2,3,2,5,7,4.0
3,3,1,0,4,5.0
2,1,1,5,3,4.0
1,0,2,0,1,1.0
1,4,2,1,6,5.0
2,3,2,1,6,8.0
1,2,2,0,1,1.0
2,1,2,3,0,5.0
1,2,2,0,1,1.0
2,1,2,2,3,4.0
3,0,2,5,10,10.0
3,0,2,4,11,0.0
1,2,2,0,1,1.0
0,0,1,3,5,6.0
1,4,2,3,1,1.0
3,0,2,4,11,2.0
1,3,2,6,8,9.0
1,0,2,2,3,4.0
1,0,2,3,5,6.0
1,2,2,0,1,1.0
2,1,2,2,3,4.0
1,1,2,3,6,7.0
1,0,2,2,3,4.0
3,2,2,1,6,7.0
2,2,2,4,2,10.0
1,0,2,2,3,4.0
1,0,2,0,1,7.0
2,3,1,0,6,3.0
1,0,1,2,7,5.0
1,3,1,6,4,10.0
2,4,2,1,3,4.0
2,1,0,2,3,4.0
1,4,1,3,5,6.0
1,4,2,3,5,9.0
0,4,2,3,1,6.0
0,0,2,6,7,10.0
0,1,2,4,6,1.0
2,0,2,2,3,4.0
1,2,2,3,1,3.0
1,0,1,3,3,5.0
2,0,0,3,1,4.0
1,0,2,3,3,4.0
1,4,1,2,3,0.0
1,2,1,0,3,1.0
2,3,2,2,3,4.0
1,1,1,2,3,3.0
1,2,0,0,1,1.0
2,0,2,2,3,4.0
1,2,1,0,1,1.0
1,0,2,3,4,7.0
1,2,2,0,1,1.0
2,1,0,2,10,10.0
1,1,2,6,4,5.0
2,3,0,4,0,0.0
1,0,1,3,5,6.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
1,2,1,0,1,1.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
1,3,1,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,4,1,2,3,4.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
0,3,2,3,11,6.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,4,1,4,11,2.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,4,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,4,2,2,3,4.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
0,3,2,1,7,10.0
2,3,0,4,0,0.0
0,3,1,3,6,3.0
2,3,0,4,0,0.0
2,4,1,3,8,7.0
0,1,2,6,0,7.0
2,3,0,4,0,0.0
2,4,2,1,0,7.0
0,2,1,4,8,1.0
2,3,1,3,3,4.0
2,3,0,4,0,0.0
3,4,0,6,0,3.0
3,1,1,6,8,3.0
2,2,2,3,1,1.0
2,1,2,2,8,0.0
2,3,0,4,0,0.0
0,1,1,4,7,10.0
0,1,2,4,5,9.0
2,3,0,4,0,0.0
2,3,2,2,4,3.0
2,1,0,1,11,9.0
0,1,2,3,8,9.0
3,3,2,6,7,5.0
1,3,2,2,7,3.0
3,2,1,3,5,2.0
2,2,2,0,5,8.0
2,3,0,4,0,0.0
3,1,2,6,5,10.0
2,3,0,4,0,0.0
2,4,2,1,11,5.0
3,2,2,3,4,7.0
2,3,0,4,0,0.0
2,2,2,1,2,5.0
2,3,0,4,0,0.0
2,1,2,3,8,7.0
2,3,0,4,0,0.0
2,0,2,1,10,10.0
2,3,0,4,0,0.0
2,1,2,0,4,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,1,1,3,3,9.0
2,3,0,4,0,0.0
3,0,1,6,8,6.0
2,3,0,4,0,0.0
1,3,2,0,3,2.0
2,3,0,4,0,0.0
3,1,2,1,0,4.0
2,3,0,4,0,0.0
3,1,1,5,6,6.0
2,1,2,4,5,9.0
2,1,1,1,8,8.0
3,4,2,4,8,3.0
0,2,2,6,3,4.0
3,0,1,1,2,0.0
3,0,1,3,7,9.0
0,2,2,6,8,4.0
2,3,2,4,5,9.0
2,1,2,4,1,9.0
1,3,2,0,6,5.0
2,3,0,4,0,0.0
2,3,1,4,10,4.0
2,3,1,5,3,0.0
2,3,1,5,6,10.0
1,1,2,4,3,4.0
2,3,0,4,0,0.0
2,1,2,1,3,5.0
1,2,2,2,3,4.0
3,2,2,6,2,3.0
3,3,2,2,2,10.0
2,3,0,4,0,2.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,1,1,2,3,4.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,2.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
1,2,1,1,3,1.0
2,3,0,4,0,0.0
2,3,0,4,0,0.0
4,5,3,7,9,
4,5,3,7,9,
5,6,4,8,12,
5,6,4,8,12,
